Date,Open,High,Low,Close,PrevClose,Change,Pchange
3/23/2022,24.07,24.975,20.455,24.7475,24.07,0.68,2.81
3/24/2022,24.7475,25.53,23.8125,23.93,24.7475,-0.82,-3.3
3/25/2022,23.93,24.2725,22.91,23.43,23.93,-0.5,-2.09
3/28/2022,23.43,24.2125,19.59,22.61,23.43,-0.82,-3.5
3/29/2022,22.61,22.61,21.1025,21.3025,22.61,-1.31,-5.78
3/30/2022,21.3025,21.3025,19.73,20.61,21.3025,-0.69,-3.25
3/31/2022,20.61,20.9425,20.2125,20.56,20.61,-0.05,-0.24
4/1/2022,20.56,20.855,18.12,18.435,20.56,-2.13,-10.34
4/4/2022,18.435,18.825,17.5925,17.9075,18.435,-0.53,-2.86
4/5/2022,17.9075,18.63,16.79,18.4875,17.9075,0.58,3.24
4/6/2022,18.4875,19.2825,16.81,19.0225,18.4875,0.54,2.89
4/7/2022,19.0225,19.49,17.7175,18.9975,19.0225,-0.03,-0.13
4/8/2022,18.9975,20.0875,17.53,17.6875,18.9975,-1.31,-6.9
4/11/2022,17.6875,19.145,16.6425,18.27,17.6875,0.58,3.29
4/12/2022,18.27,18.6725,15.085,18.1575,18.27,-0.11,-0.62
4/13/2022,18.1575,18.4025,16.1925,17.785,18.1575,-0.37,-2.05
4/18/2022,17.785,20.4825,17.785,19.335,17.785,1.55,8.72
4/19/2022,19.335,20.8075,14.6275,19.775,19.335,0.44,2.28
4/20/2022,19.775,20.265,17.835,18.6725,19.775,-1.1,-5.58
4/21/2022,18.6725,18.6725,13.35,17.8525,18.6725,-0.82,-4.39
4/22/2022,17.8525,18.76,17.8125,18.3525,17.8525,0.5,2.8
4/25/2022,18.3525,21.755,18.3525,21.2575,18.3525,2.91,15.83
4/26/2022,21.2575,21.2575,19.005,19.1875,21.2575,-2.07,-9.74
4/27/2022,19.1875,21.365,19.1875,20.605,19.1875,1.42,7.39
4/28/2022,20.605,20.605,19.0225,19.3775,20.605,-1.23,-5.96
4/29/2022,19.3775,19.6475,18.2075,19.415,19.3775,0.04,0.19
5/2/2022,19.415,21.0625,19.415,20.2825,19.415,0.87,4.47
5/4/2022,20.2825,22.3875,18.4275,21.8775,20.2825,1.6,7.86
5/5/2022,21.8775,21.8775,19.615,20.2925,21.8775,-1.59,-7.24
5/6/2022,20.2925,21.81,19.3325,21.25,20.2925,0.96,4.72
5/9/2022,21.25,22.52,18.96,22.0325,21.25,0.78,3.68
5/10/2022,22.0325,22.515,21.2175,22.3025,22.0325,0.27,1.23
5/11/2022,22.3025,24.1875,20.4825,22.8025,22.3025,0.5,2.24
5/12/2022,22.8025,25.315,21.15,24.265,22.8025,1.46,6.41
5/13/2022,24.265,24.265,20.9675,23.485,24.265,-0.78,-3.21
5/16/2022,23.485,24.7125,21.275,24.5275,23.485,1.04,4.44
5/17/2022,24.5275,24.84,17.095,22.7425,24.5275,-1.79,-7.28
5/18/2022,22.7425,23.06,21.34,22.295,22.7425,-0.45,-1.97
5/19/2022,22.295,25.1475,22.295,24.5575,22.295,2.26,10.15
5/20/2022,24.5575,24.5575,22.4425,23.1,24.5575,-1.46,-5.94
5/23/2022,23.1,23.975,20.5,23.3975,23.1,0.3,1.29
5/24/2022,23.3975,25.99,23.155,25.635,23.3975,2.24,9.56
5/25/2022,25.635,25.635,24.3625,25.2825,25.635,-0.35,-1.38
5/26/2022,25.2825,25.2825,22.535,22.7175,25.2825,-2.57,-10.15
5/27/2022,22.7175,22.7175,21.2,21.48,22.7175,-1.24,-5.45
5/30/2022,21.48,21.48,19.72,19.98,21.48,-1.5,-6.98
5/31/2022,19.98,20.75,19.68,20.4775,19.98,0.5,2.49
6/1/2022,20.4775,21.3375,18.23,20.845,20.4775,0.37,1.79
6/2/2022,20.845,20.9975,18.3825,20.32,20.845,-0.53,-2.52
6/3/2022,20.32,20.32,18.735,19.975,20.32,-0.35,-1.7
6/6/2022,19.975,20.6825,18.65,20.2025,19.975,0.23,1.14
6/7/2022,20.2025,21.07,19.4325,20.425,20.2025,0.22,1.1
6/8/2022,20.425,20.6875,19.3875,19.8375,20.425,-0.59,-2.88
6/9/2022,19.8375,19.8375,18.155,19.14,19.8375,-0.7,-3.52
6/10/2022,19.14,19.755,18.255,19.575,19.14,0.44,2.27
6/13/2022,19.575,22.8025,19.575,22.365,19.575,2.79,14.25
6/14/2022,22.365,22.635,18.9475,21.8875,22.365,-0.48,-2.14
6/15/2022,21.8875,22.365,20.95,22.1475,21.8875,0.26,1.19
6/16/2022,22.1475,28.13,19.7475,22.8675,22.1475,0.72,3.25
6/17/2022,22.8675,23.69,18.0225,22.7575,22.8675,-0.11,-0.48
